Date Time,p (mbar),T (degC),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
20.10.2015 01:00:00,993.77,6.34,5.72,95.8,9.58,9.18,0.4,5.77,9.24,1234.27,0.45,0.72,245.0
20.10.2015 02:00:00,993.8,6.42,5.95,96.8,9.63,9.33,0.31,5.86,9.38,1233.9,0.44,1.0,11.44
20.10.2015 03:00:00,993.68,6.5,5.94,96.2,9.69,9.32,0.37,5.85,9.38,1233.4,0.49,0.84,243.4
20.10.2015 04:00:00,993.55,6.39,6.04,97.6,9.62,9.38,0.23,5.9,9.45,1233.68,0.81,1.04,236.4
20.10.2015 05:00:00,993.55,6.7,6.32,97.4,9.82,9.57,0.26,6.01,9.63,1232.23,0.4,0.72,236.1
20.10.2015 06:00:00,993.35,6.77,6.37,97.3,9.87,9.6,0.27,6.04,9.67,1231.67,0.25,0.44,145.4
20.10.2015 07:00:00,993.21,6.74,6.18,96.2,9.85,9.48,0.37,5.96,9.54,1231.67,0.56,1.14,188.2
20.10.2015 08:00:00,993.35,7.06,6.65,97.2,10.07,9.79,0.28,6.15,9.85,1230.3,0.24,0.52,198.0
20.10.2015 09:00:00,993.6,7.42,6.92,96.6,10.32,9.97,0.35,6.26,10.03,1228.95,0.59,0.88,151.2
20.10.2015 10:00:00,993.68,7.89,7.46,97.1,10.66,10.35,0.31,6.5,10.41,1226.82,0.69,1.36,213.9
20.10.2015 11:00:00,993.86,8.05,7.57,96.8,10.77,10.43,0.34,6.55,10.49,1226.3,0.67,1.36,262.6
20.10.2015 12:00:00,993.75,8.3,7.61,95.4,10.96,10.46,0.5,6.57,10.52,1225.07,1.2,2.26,226.2
20.10.2015 13:00:00,993.63,8.49,7.64,94.4,11.1,10.48,0.62,6.59,10.55,1224.07,0.92,2.2,263.5
20.10.2015 14:00:00,993.56,8.47,7.42,93.1,11.09,10.32,0.77,6.49,10.39,1224.16,0.85,1.88,265.3
20.10.2015 15:00:00,993.58,8.46,7.49,93.6,11.08,10.37,0.71,6.52,10.44,1224.2,1.03,2.42,262.3
20.10.2015 16:00:00,993.92,8.6,7.85,95.0,11.19,10.63,0.56,6.68,10.69,1223.89,0.34,0.72,200.9
20.10.2015 17:00:00,994.27,8.38,7.57,94.6,11.02,10.42,0.6,6.55,10.48,1225.37,0.91,1.54,207.7
20.10.2015 18:00:00,994.75,8.2,7.51,95.4,10.89,10.38,0.5,6.52,10.44,1226.77,0.96,2.32,243.2
20.10.2015 19:00:00,994.87,8.14,7.25,94.1,10.84,10.2,0.64,6.4,10.25,1227.27,1.23,1.64,239.7
20.10.2015 20:00:00,995.02,8.1,7.27,94.5,10.81,10.22,0.59,6.41,10.27,1227.62,1.15,2.04,257.1
20.10.2015 21:00:00,995.05,8.06,7.17,94.1,10.78,10.15,0.64,6.37,10.2,1227.87,0.55,1.12,216.9
20.10.2015 22:00:00,995.23,7.9,6.97,93.8,10.67,10.0,0.66,6.28,10.05,1228.85,1.49,3.36,258.7
20.10.2015 23:00:00,995.08,7.53,6.8,95.1,10.4,9.89,0.51,6.2,9.94,1230.34,0.97,1.56,235.4
21.10.2015 00:00:00,994.88,7.67,6.83,94.4,10.5,9.91,0.59,6.22,9.96,1229.47,0.33,0.68,57.73
21.10.2015 01:00:00,994.77,7.34,6.53,94.6,10.26,9.71,0.55,6.09,9.76,1230.88,1.52,2.72,252.9
21.10.2015 02:00:00,994.77,7.33,6.34,93.4,10.26,9.58,0.68,6.01,9.63,1230.97,2.19,2.66,247.0
21.10.2015 03:00:00,994.53,7.23,6.29,93.7,10.19,9.55,0.64,5.99,9.6,1231.14,1.54,2.32,243.7
21.10.2015 04:00:00,994.54,7.01,5.96,93.0,10.03,9.33,0.7,5.86,9.38,1232.21,1.34,2.58,253.2
21.10.2015 05:00:00,994.41,6.99,5.9,92.7,10.02,9.29,0.73,5.83,9.34,1232.14,2.06,2.64,257.7
21.10.2015 06:00:00,994.21,7.0,5.77,91.9,10.02,9.21,0.81,5.78,9.27,1231.92,1.6,1.92,247.4
21.10.2015 07:00:00,994.01,6.98,5.69,91.5,10.01,9.16,0.85,5.75,9.21,1231.8,1.61,2.16,253.9
21.10.2015 08:00:00,994.22,6.97,5.81,92.3,10.01,9.24,0.77,5.8,9.29,1232.03,1.05,1.84,253.0
21.10.2015 09:00:00,994.19,7.38,6.0,90.9,10.29,9.36,0.94,5.87,9.41,1230.15,1.49,2.32,242.1
21.10.2015 10:00:00,994.08,8.29,5.7,83.7,10.95,9.17,1.79,5.76,9.22,1226.11,1.03,2.4,251.3
21.10.2015 11:00:00,994.18,9.26,5.93,79.6,11.7,9.31,2.39,5.85,9.37,1221.97,1.14,2.52,284.6
21.10.2015 12:00:00,993.93,9.05,6.17,82.1,11.53,9.47,2.06,5.95,9.53,1222.49,0.88,1.36,201.9
21.10.2015 13:00:00,993.52,9.18,6.01,80.5,11.63,9.37,2.27,5.88,9.43,1221.47,1.18,1.88,93.2
21.10.2015 14:00:00,993.11,9.81,5.89,76.5,12.14,9.29,2.85,5.84,9.35,1218.29,0.54,1.36,223.6
21.10.2015 15:00:00,992.67,10.16,6.06,75.6,12.43,9.39,3.03,5.91,9.46,1216.19,1.3,2.74,168.8
21.10.2015 16:00:00,992.3,9.73,6.27,79.0,12.07,9.54,2.54,6.0,9.61,1217.51,2.23,3.12,171.9
21.10.2015 17:00:00,992.45,9.21,6.22,81.5,11.66,9.5,2.16,5.98,9.57,1219.96,1.0,1.24,229.7
21.10.2015 18:00:00,992.43,8.84,6.41,84.7,11.37,9.63,1.74,6.06,9.7,1221.47,0.75,1.44,150.0
21.10.2015 19:00:00,992.19,8.36,6.45,87.7,11.0,9.65,1.35,6.07,9.73,1223.25,0.82,1.44,182.1
21.10.2015 20:00:00,991.82,7.86,6.21,89.3,10.64,9.5,1.14,5.98,9.58,1225.04,0.81,2.28,179.2
21.10.2015 21:00:00,992.0,7.23,5.82,90.7,10.19,9.24,0.95,5.81,9.31,1228.14,0.89,1.42,217.6
21.10.2015 22:00:00,991.84,6.59,5.0,89.5,9.75,8.73,1.02,5.49,8.8,1230.97,1.33,2.16,202.9
21.10.2015 23:00:00,991.83,5.89,4.91,93.4,9.29,8.67,0.61,5.46,8.75,1234.09,1.62,2.24,186.7
22.10.2015 00:00:00,991.36,5.46,4.83,95.7,9.01,8.63,0.39,5.43,8.7,1235.42,2.12,2.66,182.8
22.10.2015 01:00:00,991.07,5.14,4.52,95.8,8.81,8.44,0.37,5.32,8.52,1236.59,1.47,2.24,194.4
22.10.2015 02:00:00,990.55,4.71,4.16,96.2,8.55,8.23,0.32,5.18,8.31,1237.95,1.72,2.72,177.3
22.10.2015 03:00:00,990.23,4.18,3.72,96.8,8.24,7.98,0.26,5.03,8.05,1240.03,1.74,2.28,211.1
22.10.2015 04:00:00,989.81,3.81,3.38,97.0,8.03,7.79,0.24,4.91,7.87,1241.23,1.93,2.62,218.5
22.10.2015 05:00:00,989.53,4.01,3.58,97.0,8.14,7.9,0.24,4.98,7.98,1239.93,1.2,2.76,147.7
22.10.2015 06:00:00,989.19,3.89,3.29,95.8,8.08,7.74,0.34,4.88,7.82,1240.11,1.32,1.96,224.0
22.10.2015 07:00:00,988.97,4.07,3.53,96.3,8.18,7.87,0.3,4.97,7.96,1238.99,1.71,2.96,140.7
22.10.2015 08:00:00,988.72,5.1,4.41,95.3,8.79,8.38,0.41,5.29,8.47,1233.83,0.78,1.9,188.3
22.10.2015 09:00:00,988.8,7.6,5.3,85.3,10.45,8.91,1.54,5.63,9.01,1222.7,1.37,2.28,160.6
22.10.2015 10:00:00,988.5,9.89,5.78,75.5,12.2,9.21,2.99,5.82,9.32,1212.3,4.37,6.05,202.0
22.10.2015 11:00:00,988.5,10.51,5.91,73.1,12.72,9.3,3.42,5.87,9.41,1209.61,3.38,4.89,213.1
22.10.2015 12:00:00,988.51,10.79,6.35,74.0,12.96,9.59,3.37,6.06,9.7,1208.29,2.91,4.48,208.7
22.10.2015 13:00:00,988.14,10.78,6.58,75.2,12.95,9.74,3.21,6.15,9.86,1207.81,4.47,6.01,210.8
22.10.2015 14:00:00,988.25,10.4,6.57,77.1,12.63,9.74,2.89,6.15,9.85,1209.57,3.24,4.97,209.3
22.10.2015 15:00:00,988.14,10.24,6.73,78.8,12.49,9.84,2.65,6.22,9.96,1210.07,4.2,7.17,213.5
22.10.2015 16:00:00,988.21,10.33,6.78,78.6,12.57,9.88,2.69,6.24,10.0,1209.75,4.23,6.01,209.9
22.10.2015 17:00:00,988.79,10.27,7.23,81.4,12.52,10.19,2.33,6.44,10.31,1210.58,2.99,5.55,217.1
22.10.2015 18:00:00,989.33,10.22,7.27,81.9,12.48,10.22,2.26,6.45,10.33,1211.44,3.52,7.19,211.1
22.10.2015 19:00:00,989.83,9.99,7.35,83.6,12.29,10.27,2.01,6.48,10.38,1213.01,2.57,4.53,207.9
22.10.2015 20:00:00,990.35,9.93,7.7,86.0,12.24,10.52,1.71,6.64,10.63,1213.79,2.09,3.28,207.4
22.10.2015 21:00:00,990.76,9.85,8.14,89.1,12.17,10.84,1.33,6.84,10.95,1214.49,1.98,3.68,195.4
22.10.2015 22:00:00,991.35,9.74,8.43,91.5,12.08,11.05,1.03,6.97,11.15,1215.59,0.85,1.94,162.0
22.10.2015 23:00:00,991.71,9.82,8.47,91.3,12.15,11.09,1.06,6.98,11.18,1215.68,1.08,2.0,170.0
23.10.2015 00:00:00,992.2,10.0,8.65,91.3,12.29,11.22,1.07,7.07,11.31,1215.44,1.37,2.2,227.5
23.10.2015 01:00:00,992.68,10.0,8.52,90.5,12.29,11.13,1.17,7.0,11.21,1216.08,2.29,3.52,254.5
23.10.2015 02:00:00,993.57,9.86,8.14,89.0,12.18,10.84,1.34,6.81,10.91,1217.91,2.06,3.88,257.5
23.10.2015 03:00:00,993.91,9.2,7.34,88.1,11.65,10.26,1.39,6.45,10.33,1221.44,1.57,2.16,241.6
23.10.2015 04:00:00,994.45,8.53,6.45,86.7,11.13,9.65,1.48,6.06,9.71,1225.3,2.51,3.44,252.6
23.10.2015 05:00:00,995.04,8.86,6.31,84.0,11.38,9.56,1.82,6.0,9.61,1224.64,1.98,2.52,255.2
23.10.2015 06:00:00,995.75,8.99,6.2,82.6,11.49,9.49,2.0,5.95,9.53,1224.99,2.6,3.14,250.9
23.10.2015 07:00:00,996.12,9.15,5.8,79.5,11.61,9.23,2.38,5.78,9.27,1224.87,2.34,2.76,251.2
23.10.2015 08:00:00,996.57,9.33,5.92,79.2,11.75,9.31,2.44,5.83,9.34,1224.61,1.83,2.28,249.3
23.10.2015 09:00:00,997.0,10.69,6.47,75.1,12.87,9.67,3.21,6.05,9.7,1219.1,1.7,3.86,205.9
23.10.2015 10:00:00,997.37,11.68,6.69,71.4,13.75,9.82,3.93,6.15,9.84,1215.25,2.48,4.24,211.1
23.10.2015 11:00:00,997.43,12.22,5.71,64.39,14.25,9.17,5.07,5.74,9.2,1213.32,2.0,4.77,295.1
23.10.2015 12:00:00,997.28,13.06,5.43,59.74,15.06,9.0,6.06,5.63,9.02,1209.65,3.9,7.13,234.0
23.10.2015 13:00:00,997.35,14.37,6.56,59.31,16.4,9.73,6.67,6.09,9.75,1203.9,1.69,4.46,292.0
23.10.2015 14:00:00,997.59,12.61,6.36,65.65,14.62,9.6,5.02,6.01,9.62,1211.66,1.02,2.9,358.2
23.10.2015 15:00:00,997.53,12.68,6.35,65.29,14.69,9.59,5.1,6.0,9.61,1211.29,1.31,2.52,282.3
23.10.2015 16:00:00,997.59,12.35,6.31,66.55,14.37,9.56,4.81,5.99,9.59,1212.78,0.76,1.32,307.3
23.10.2015 17:00:00,997.43,11.67,6.37,69.88,13.74,9.6,4.14,6.01,9.63,1215.46,1.09,1.6,239.5
23.10.2015 18:00:00,997.53,10.57,5.34,69.98,12.77,8.94,3.83,5.59,8.96,1220.61,1.21,1.76,263.3
23.10.2015 19:00:00,997.63,8.71,5.68,81.2,11.27,9.15,2.12,5.73,9.17,1228.69,0.54,1.44,226.3
23.10.2015 20:00:00,997.6,7.63,5.56,86.7,10.47,9.08,1.39,5.68,9.1,1233.41,1.45,2.22,217.4
23.10.2015 21:00:00,997.74,6.57,5.28,91.4,9.74,8.9,0.84,5.57,8.92,1238.33,0.45,1.36,115.2
23.10.2015 22:00:00,997.6,6.65,5.09,89.7,9.79,8.78,1.01,5.49,8.8,1237.86,0.83,1.36,221.9
23.10.2015 23:00:00,997.64,5.61,4.56,92.9,9.11,8.46,0.65,5.29,8.48,1242.69,1.43,1.8,235.0
24.10.2015 00:00:00,997.49,4.8,3.96,94.3,8.61,8.12,0.49,5.08,8.14,1246.29,1.34,2.76,187.1
24.10.2015 01:00:00,997.6,3.59,2.96,95.6,7.91,7.56,0.35,4.73,7.58,1252.13,0.97,1.88,211.7
24.10.2015 02:00:00,997.09,2.85,2.41,96.9,7.5,7.27,0.23,4.55,7.29,1254.99,0.58,1.08,151.6
24.10.2015 03:00:00,996.44,2.6,2.3,97.9,7.37,7.21,0.15,4.51,7.24,1255.34,0.99,1.42,195.7
24.10.2015 04:00:00,995.76,2.19,1.96,98.4,7.15,7.04,0.11,4.41,7.07,1256.43,0.6,1.08,145.5
24.10.2015 05:00:00,995.59,1.66,1.46,98.6,6.89,6.79,0.1,4.25,6.82,1258.75,1.45,2.0,188.0
24.10.2015 06:00:00,995.58,1.38,1.21,98.8,6.75,6.67,0.08,4.18,6.7,1260.08,1.37,1.92,195.9
24.10.2015 07:00:00,995.35,1.0,0.85,98.9,6.57,6.5,0.07,4.07,6.53,1261.62,1.98,3.16,208.7
24.10.2015 08:00:00,995.21,1.15,1.01,99.0,6.64,6.57,0.07,4.12,6.61,1260.71,1.96,2.64,208.8
24.10.2015 09:00:00,994.72,1.9,1.78,99.1,7.01,6.95,0.06,4.36,6.98,1256.46,1.46,2.8,170.5
24.10.2015 10:00:00,994.09,3.44,3.25,98.7,7.82,7.72,0.1,4.84,7.76,1248.34,0.82,1.52,201.6
24.10.2015 11:00:00,993.31,6.08,5.75,97.7,9.41,9.19,0.22,5.78,9.26,1234.85,1.06,1.8,122.2
24.10.2015 12:00:00,992.57,9.21,8.85,97.6,11.66,11.38,0.28,7.16,11.46,1219.23,0.98,1.56,153.7
24.10.2015 13:00:00,991.94,12.85,7.59,70.3,14.85,10.44,4.41,6.57,10.53,1203.38,1.99,3.12,163.6
24.10.2015 14:00:00,990.92,14.01,7.66,65.5,16.02,10.49,5.53,6.61,10.59,1197.25,1.94,3.64,175.7
24.10.2015 15:00:00,990.82,13.44,5.56,58.8,15.44,9.08,6.36,5.72,9.16,1200.17,4.83,7.37,208.9
24.10.2015 16:00:00,990.52,11.22,5.56,68.06,13.34,9.08,4.26,5.72,9.16,1209.17,4.58,6.45,196.8
24.10.2015 17:00:00,991.06,9.26,5.62,77.9,11.7,9.11,2.58,5.74,9.19,1218.21,4.26,6.29,206.8
24.10.2015 18:00:00,991.34,8.34,5.32,81.2,10.99,8.92,2.07,5.62,9.0,1222.62,1.61,2.56,195.8
24.10.2015 19:00:00,991.62,7.41,5.04,84.9,10.31,8.76,1.56,5.51,8.83,1227.1,2.23,2.88,209.2
24.10.2015 20:00:00,991.62,7.37,5.17,85.9,10.29,8.84,1.45,5.56,8.91,1227.24,1.23,1.66,219.6
24.10.2015 21:00:00,991.74,7.13,5.32,88.2,10.12,8.92,1.19,5.62,9.0,1228.4,0.92,1.88,216.6
24.10.2015 22:00:00,991.95,6.31,4.95,91.0,9.56,8.7,0.86,5.47,8.77,1232.37,0.78,1.48,136.1
24.10.2015 23:00:00,992.07,6.22,5.06,92.2,9.5,8.76,0.74,5.51,8.83,1232.87,0.46,1.32,198.1
25.10.2015 00:00:00,992.21,6.78,5.48,91.4,9.87,9.03,0.85,5.68,9.1,1230.49,0.76,1.8,218.4
25.10.2015 01:00:00,992.44,7.32,5.75,89.7,10.25,9.19,1.06,5.78,9.26,1228.31,1.18,2.2,200.7
25.10.2015 02:00:00,992.46,7.18,5.66,90.0,10.15,9.14,1.02,5.75,9.21,1228.97,0.68,1.12,179.0
25.10.2015 03:00:00,992.65,6.99,5.71,91.5,10.02,9.17,0.85,5.77,9.24,1230.01,0.81,1.84,174.4
25.10.2015 04:00:00,992.95,7.28,6.02,91.7,10.22,9.37,0.85,5.89,9.44,1229.03,0.58,1.56,120.5
25.10.2015 05:00:00,993.27,7.61,6.1,90.1,10.46,9.42,1.04,5.92,9.48,1227.96,0.59,1.32,182.9
25.10.2015 06:00:00,993.82,7.09,5.99,92.7,10.09,9.35,0.74,5.87,9.41,1230.96,0.38,0.82,167.2
25.10.2015 07:00:00,994.26,7.43,6.09,91.2,10.33,9.42,0.91,5.91,9.47,1229.99,0.66,1.04,211.1
25.10.2015 08:00:00,995.26,7.47,6.34,92.5,10.36,9.58,0.78,6.01,9.63,1230.97,0.7,1.04,186.1
25.10.2015 09:00:00,995.91,8.44,6.74,89.0,11.06,9.85,1.22,6.17,9.89,1227.41,0.5,0.96,208.2
25.10.2015 10:00:00,996.35,8.91,7.13,88.6,11.42,10.12,1.3,6.34,10.16,1225.78,0.71,1.16,160.8
25.10.2015 11:00:00,996.75,9.93,7.81,86.6,12.24,10.6,1.64,6.64,10.63,1221.63,0.78,1.76,167.3
25.10.2015 12:00:00,997.08,11.5,8.61,82.4,13.59,11.2,2.39,7.01,11.23,1215.03,0.95,1.92,173.2
25.10.2015 13:00:00,997.32,12.91,8.42,74.1,14.91,11.05,3.86,6.92,11.08,1209.39,2.08,3.24,259.1
25.10.2015 14:00:00,997.5,13.1,8.74,74.8,15.1,11.29,3.8,7.07,11.32,1208.71,1.63,3.52,287.9
25.10.2015 15:00:00,997.72,13.29,8.92,74.8,15.29,11.43,3.85,7.16,11.46,1208.1,1.19,2.24,278.4
25.10.2015 16:00:00,998.13,13.14,8.99,75.9,15.14,11.49,3.65,7.19,11.51,1209.2,0.84,1.56,241.4
25.10.2015 17:00:00,998.51,12.6,9.1,79.2,14.61,11.57,3.04,7.24,11.59,1211.91,0.85,1.68,258.2
25.10.2015 18:00:00,999.17,12.08,9.14,82.2,14.12,11.61,2.51,7.26,11.61,1214.92,1.34,2.24,257.0
25.10.2015 19:00:00,999.65,11.73,9.26,84.8,13.8,11.7,2.1,7.31,11.7,1216.95,0.43,0.8,105.1
25.10.2015 20:00:00,1000.1,10.92,9.13,88.7,13.07,11.6,1.48,7.24,11.6,1221.02,2.34,3.3,38.75
25.10.2015 21:00:00,1000.42,10.73,8.96,88.8,12.91,11.46,1.45,7.16,11.46,1222.29,0.82,1.04,7.63
25.10.2015 22:00:00,1000.3,10.71,8.94,88.8,12.89,11.45,1.44,7.15,11.44,1222.23,0.49,0.8,235.3
25.10.2015 23:00:00,1000.04,10.32,8.97,91.3,12.56,11.47,1.09,7.16,11.47,1223.59,0.72,1.08,54.21
26.10.2015 00:00:00,999.64,10.06,9.06,93.5,12.34,11.54,0.8,7.21,11.55,1224.19,0.99,1.32,21.6
26.10.2015 01:00:00,999.47,9.97,8.77,92.2,12.27,11.31,0.96,7.07,11.32,1224.48,0.91,1.32,39.78
26.10.2015 02:00:00,999.52,9.42,8.74,95.5,11.82,11.29,0.53,7.06,11.3,1226.94,1.76,2.44,26.88
26.10.2015 03:00:00,999.13,9.41,8.59,94.6,11.82,11.18,0.64,6.99,11.19,1226.55,1.64,2.12,15.87
26.10.2015 04:00:00,998.63,9.3,8.29,93.4,11.73,10.95,0.77,6.85,10.97,1226.51,1.95,2.8,12.75
26.10.2015 05:00:00,998.33,8.86,8.06,94.7,11.38,10.78,0.6,6.74,10.8,1228.13,2.09,2.96,36.68
26.10.2015 06:00:00,998.11,8.79,7.9,94.1,11.33,10.66,0.67,6.67,10.68,1228.22,2.4,3.14,34.96
26.10.2015 07:00:00,998.08,8.59,7.73,94.3,11.18,10.54,0.64,6.6,10.56,1229.12,2.24,2.96,35.44
26.10.2015 08:00:00,998.33,8.65,7.71,93.8,11.22,10.53,0.7,6.59,10.55,1229.17,2.22,3.36,50.58
26.10.2015 09:00:00,998.21,8.3,7.56,95.1,10.96,10.42,0.54,6.52,10.44,1230.6,2.38,2.96,32.24
26.10.2015 10:00:00,998.17,8.73,7.81,93.9,11.28,10.6,0.69,6.63,10.62,1228.59,1.99,2.76,39.21
26.10.2015 11:00:00,997.78,9.28,8.02,91.8,11.71,10.75,0.96,6.73,10.78,1225.64,2.14,2.84,32.21
