review,sentiment
"Somehow, I really thought that I was going to enjoy this film because I love pictures with mountain climbing and a great mystery in the plot. I must say that the photography was fantastic and there was some scary scenes that captured my attention. I thought that Nicole Eggert,(Diana Pennington),""Thank You, Good Night"",'01 played a very convincing role as a young girl who had a tragic loss in her life and meets up with some characters who want her to guide them up the mountain. Marc Singer, ""Angel Blade"",'02, played a very unconvincing weird guy and over acted in many scenes with a bad temper that looked comical. This film was a big disappointed and not worth watching, unless there is nothing on the TV to ENJOY!!",negative
"No doubt Frank Sinatra was a talented actor as well as a talented singer. After all, very few actors nowadays can get a scene just right in one take, and that was pretty much Sinatra's modus operandi on set.<br /><br />I feel that as the 1960's wore on, the quality of the man's films really started to tank. The Tony Rome detective series was nothing short of trying to compete with Dean Martin's Matt Helm series which came out at the same time. Perhaps even a James Bond competition, but nothing really worked for Frank during these years. His personal life in shambles, his music fading out...Sinatra appeared more like a throwback to the 1950's. The last great Sinatra film of this period was probably Von Ryan's Express in 1965.",negative
"I love this movie. Even though I rated it a ""4"", that's because the acting, the plot and the budget were all slated to the ""B"" universe even before this movie was released. But that's OK! It is an entertaining film that has a lot to offer! <br /><br />I remember what Leonard Maltin said about ""Plan 9 From Outer Space"": a film so bad that it's great! Lacking the UFO - alien plot, The Thing the Couldn't Die relies on the supernatural (divination, a buried head looking for it's body, hypnosis, etc) to tell it's story. The acting is stilted, the camera work second class and the settings are limited, but boy! what a movie! This film is available in the bootleg market. If you find a copy, buy it!",negative
"After the superb AANKHEN(2002) which was a remake of a Gujarati play he comes with WAQT which too looks like a stage play<br /><br />In stage plays, we have characters shouting, overacting here too the same<br /><br />The first half shows Amitabh almost kidding the 40+ Akshay Kumar who acts too funny like a small nerd<br /><br />The film has a good message how not to spoil your son but sadly the way Amitabh wants to make Akki responsible is absolutely fake<br /><br />Even his reason for hiding his sickness, his runnign from the hospital and the melodramatic speech by Akki is a put off<br /><br />Some emotions do touch you but most are too over the top<br /><br />Rajpal's comedy is hilarious but too stretched in second half <br /><br />Direction by Vipul Shah is too overdone though some scenes are good Music is okay<br /><br />Amongst actors Amitabh overdoes it in the first half but is superb in emotional scenes Akshay Kumar too does his part well but looks umcomfortable in some too weepy scenes His chemistry with Bachchan is matchless Rajpal is a highlight, he makes you laugh without overacting and just his presence and his dumb behaviour and deadpan humour he is a riot Boman is good in some comic parts but too loud at places Priyanka is the heroine so nothing to do, this is her last film with Akki so far Shefali is awesome though she looks too young for Bachchan",negative
"To start with, I have done some further research on the film. Firslty, Jules Dassin directed and acted in this extremely imaginative and different film noir crime film. Secondly, This was a very low budget film, created in the Rennaissance of the prime moment of film noir. Thirdly, the jewelers where the robbery was attempted is an actual jewelers. The producers of Rififi asked them to film their, surprisingly, (I quote Jules Dassin in a recent interview on the subject, ""surprisingly, for some not very obvious reason, they were delighted at the idea of a crime film being set in their shop). <br /><br />It's impeccable characters and plot fit in so beautifully with their surroundings. To add on to my praise I will say this; some might say that this was a typical Hollywood film, on the contrary, this set the base for the regular plot of a Hollywood crime film. <br /><br />Laslty, I would like to say that I support this fresh idea of a film where not only one side wins, and that side doesn't always have to be the good one. For once, I can say that a film is not predictable! Ten stars!",positive
"One of the best documentaries released in recent years. Some points...<br /><br />1. Hugo Chavez was elected Venezuela's president in 1998, his support largely coming from the poorer regions of Venezuela.<br /><br />2. In 2002, a coup briefly deposed Chavez. At the time, Irish filmmakers Kim Bartley and Donnacha O'Briain were in Caracas, shooting a documentary about Chavez for British television. Their film deconstructs the coup and its aftermath, and electrifyingly records history unfolding on-the-spot, outside and inside the presidential palace.<br /><br />3. Chavez aimed to free Venezuela from the free-market policies imposed on it by the US. Though Venezuela's oil was already state-owned, it was run for private benefit by executives who Chavez wished to replace.<br /><br />4. Despite being the world's fourth largest oil supplier, Venezuela remains swamped by poverty, its resources literally sucked away by foreign multinational corporations.<br /><br />5. The documentary begins by portraying Chavez's first years as president before the coup. It focuses on his popularity with the poor, and his various policies which proved popular with working class locals (educational plans, distribution of the oil revenue, grass-root democracy etc).<br /><br />6. Chavez was a huge proponent of education, and printed thousands of copies of the Venezuelan constitution, encouraging children and adults to study and understand it.<br /><br />7. When Chavez came to power, he immediately pledged to redistribute oil profits. This, understandably, made the oil companies nervous.<br /><br />8. A media-war broke out. The six private TV stations promptly began opposing the state-run TV station. They questioned Chavez's motives, sanity and sexual orientation.<br /><br />9. Without media support, the coup would not have been successful. The film makes it clear that coups rely heavily on the media to disseminate information and that news can be easily fabricated.<br /><br />10. Under the guise of ""re-establishing democracy"", the opposition silenced the state-run TV station, dissolved the National Electoral Board, Supreme Court, National Assembly and took control of the military.<br /><br />11. Moneyed interests, backed by the military elite (encouraged by the US and CIA), organised a citizens' march on the presidential palace to effect the coup. Snipers shot at Chávez supporters, but the private media stations edited footage so it appeared that return fire was aimed at the opposition march that in fact had been safely diverted.<br /><br />12. Police went on a shooting rampage against Chavez supporters, further bloodying the streets.<br /><br />13. Chavez, held captive, refused to resign. Of course the media/government then lied, saying he had resigned, but Chavez's cabinet members communicated the truth to the international community, which eventually got the message back to Venezuela by cable TV.<br /><br />14. The people rose up, pressuring the return of the president they had elected, whom only a referendum could constitutionally replace.<br /><br />8.9/10 - At a little over an hour long, this doc is far too short. Nevertheless, its an engrossing piece of journalism and deals with a form of ""media warfare"" which rarely gets touched upon. Makes a great companion piece to ""The Battle of Algiers"".<br /><br />Worth one viewing.",positive
"I found this a bit hard to follow to the extent that it seemed to dip in the middle while I tried to make head or tail of who was fighting who and why. One of the problems is the cultural/language one. Here we have a Chinese/Taiwanese/Japanese problem of which we know little and because we are simply reading English subtitles inevitably loose some of the subtleties. Another problem is that there seem to be just too many only half explained twists and coincidences. Nevertheless, it seems unlikely that there is a wholly bad Miiki film and this certainly is not that. Plenty of stylish and bone crunching violence, a window upon some less than orthodox sexual goings on plus the family aspect. All in all a decent ride but maybe checking out the storyline might actually be helpful before watching this one.",positive
"As much as I love Rodney Dangerfield, this was a terrible movie. The plot was kind of a holistic rip off of various movies, but unfortunately they forgot to rip off any good jokes. In addition it was annoying and boring and that's being kind. If you're looking for a good laugh, rent a copy of Private Parts.",negative
"My friend and I picked ""Paperhouse"" out of a random pile of movies on our weekly excursion to the Horror section-- neither of us had heard of it, but the blurb on the box was really promising. And the movie didn't disappoint, though I still probably wouldn't call it a horror movie exclusively.<br /><br />11-year old Anna Madden draws a house, and visits it in her dreams. She is definitely asleep when she's seeing the house, but it's so real in a sense that it's almost like a completely separate reality. Which, in view of later events, doesn't seem like a far cry from the truth. Anyhow, she finds she can add to the house, its contents and its surroundings by simply adding to the picture. <br /><br />While this is going on, Anna is getting increasingly more ill with a fever, and besides that is getting totally obsessed with the house and her drawing. On top of that, she and her mother are also dealing with her absent father; he has a job that takes him away for long stretches, though one gets the impression there's actually more to the story than that.<br /><br />OK, so the drawing stuff sounds nice enough-- but frankly there's something really menacing about it. The dreamworld is eerily surreal -- the house, for instance, is just a grey block in the middle of a desolate field. The folks who made the movie did a great job of making us very uncomfortable with this alternate world/ongoing dream...<br /><br />One of the things Anna adds to the house is a boy, Mark, who seems to be the same patient her doctor keeps talking about (I'm not giving that away, you know from the moment he appears that it's the same kid). In reality, Mark can't walk due to an illness; in Anna's drawing-world, he can't walk because she didn't draw him any legs. She blames herself for his real-life illness, and tries to rectify the situation, but... everything starts getting really weird. She even brings her absent father into the drawing, with disastrous results. The bits with the father are really terrifying.<br /><br />I don't want to give anything away, so I'll stop there... There seems to be a lot going on in this film. I'm sure you'll have a ball analyzing this thing do death with your pals after you watch it-- Is it a simple a story as it seems, or are there actually layers of meaning? I don't know, but either way it's quite fascinating. There was a ""Nightmare On Elm Street""-ish quality about it, in that at a certain point reality and dreams intersect. I love things like that.<br /><br />My only complaint is that it feels like it COULD have ended many times, but didn't. I'm satisfied with the ending it had (some of you sensitive types might want to have Kleenex handy!), though it really could have a variety of conclusions. Anyway, it doesn't exactly feel drawn out once it's actually over, but while you're watching and it keeps fading back in, it's a little nerve wracking.<br /><br />Still, ""Paperhouse"" is a really GOOD film. It's well done, and acting-- especially Charlotte Burke as Anna-- is top notch. Burke, who has never before or since appeared in a film, is a real gem. I don't know why she never went onto do anything else, but either way she's really convincing and enjoyable to watch.<br /><br />""Paperhouse"" isn't exactly a horror movie, it's sort of a fantasy/suspense/something else type of movie, with some definite horroresque moments-- but you can still watch it with your family and not be worried that your little brother or grandmother will get grossed out by blood splashing or something.<br /><br />Give it a chance, you won't regret it! And maybe you should read the book, too...",positive
"This romantic comedy isn't too bad. There are some funny things happening here and there, and there are some rather memorable characters in it.<br /><br />The acting, however, is amateurish (with the exception of the banker). While some scenes are great fun, others are simply embarrassing. In particular, I found the ""romantic"" part of the story poor. <br /><br />All in all, I guess it's worth seeing if you like football and romantic comedies. It's not really a bad movie, and the ending did feel quite good. Just don't expect anything out of the ordinary. Fair enough if you have an hour and a quarter to kill.",negative
"I love ghost stories in general, but I PARTICULARLY LOVE chilly, atmospheric and elegantly creepy British period-style ghost stories. This one qualifies on all counts. A naive young lawyer (""solicitor"" in Britspeak) is sent to a small village near the seaside to settle an elderly, deceased woman's estate. It's the 1920s, a time when many middle-class Brits go to the seaside on vacation for ""their health."" Well, guess what, there's nothing ""healthy"" about the village of Crythin Gifford, the creepy site of the elderly woman's hulking, brooding Victorian estate, which is located on the fringes of a fog-swathed salt marsh. When the lawyer saves the life of a small girl (none of the locals will help the endangered tot -- you find out why later on in the film), he inadvertently incurs the wrath of a malevolent spirit, the woman in black. She is no filmy, gauzy wraith, but a solid black silhouette of malice and evil. The viewer only sees her a few times, but you feel her malevolent presence in every frame. As the camera creeps up on the lawyer while he's reading through legal papers, you expect to see the woman in black at any moment. When the lawyer goes out to the generator shed to turn on the electricity for the creepy old house, the camera snakes in on him and you think she'll pop up there, too. Waiting for the woman in black to show up is nail-bitingly suspenseful. We've seen many elements of this story before(the locked room that no one enters, the fog, the naive outsider who ignores the locals' warnings) but the director somehow manages to combine them all into a completely new-seeming and compelling ghost story. Watch it with a buddy so you can have someone warm to grab onto while waiting for the woman in black. . .",positive
"OK, look at the title of this film.<br /><br />the title says it all right? the title is great... i mean, a lot of things should come into your head after readin it. in fact, you might be extremely anxious to see it.<br /><br />well, sadly, you won't see any of that.<br /><br />just a bunch of bad actors, some blood spilling, some hot chicks, and some lesbo action.<br /><br />oh, well, i think there are about 5-10 minutes of zombies and vampires indeed...<br /><br />get away from this if you want to see a good movie. else get it.",negative
"Okay, here's what I think about Jack Frost. I looked at the morphing box for the VHS tape and I thought to myself, this looks interesting. I rent it and I take it home. Boy was I right, it is interesting. They put serial killer's spirits in dreams, in walking corpses and inside every day machines. But this has got to be the most unique place to put the spirit of a serial killer. Inside the body of a snowman. I liked all the friendly snowman images littering the landscape, the pot holder, the snow globe, etc. I like the actor who played Jack, he put some fun into a killer really not seen since FREDDY KRUGGER. That's right, I said it. FREDDY KRUGGER. It's that level of ""cool"". I wish some of the puppet effects were better, the mouth movements could have matched better. But I chalk that up to a small budget. The cast does a great job, there are some great one liners and scares to make any hardcore horror fan jump. All and all, a great story, good effects, great dialog and a great cast. I give JACK FROST...9 STARS",positive
"This show has all the typical characters in a comedy: the good guy, the idiot, the pervert, the rich girl... but it's set on the 70's. That's the only difference that it has with other TV comedies. I don't know how you can like this show. Its humor is pathetic! I mean, the jokes are so direct... A typical dialog is this: ""Fez: Oh, Jackie I want to have sex with you. (audience laughs) Jackie: Fez you're a pervert. (audience laughs) Fez: Oh yes I am. (audience cheers and applauds)"" This isn't funny. I think that if it didn't have those laughs (I don't know how you call that in English, sorry) you wouldn't laugh at all. This isn't intelligent comedy, this is an insult to the public. I like most of the American comedies, but this isn't good at all. I would give it 4 out of 10. (Sorry for my poor English again.)",positive
"A by-the-numbers exorcism exercise with a disappointing non-allegiance and usage of the term 'blackwater.' The cinematography appears right out of basic cable MOW land which removes any semblance of swampy, murky atmosphere from the proceedings. In addition, there's not nearly enough gore, sex or attractive young things to satiate the majority of the film's targeted viewers. That being said, the lead actress who plays the possessed has a sexy olive-skinned presence. What else needs to be said about this non-winner? Don't rent unless you've got a thing for middle-aged adults bemoaning their past and rants with clichéd priests, shrinks, hispanic stablemen all regretting their past actions.",negative
"Will there be please coming an end to hyping movies that are dealing about social conflicts or other human disasters? Okay ""Care"" is about childabuse, ""Care"" is about perverts misusing boys in a school and how disgusting it might be, if it's a movie with a poor script and made with bad playing actors then it stays a bad movie. ""Care"" is a movie that could have been, but is it because it was a tvmovie I don't know but everything seemed so limited that it comes over as some cheap movie that will be seen by some housewifes and fathers who decide not to go to bed. There are so many unanswered things in this movie...the relation with his mother for instance or the death of some abused boy from which we know nothing more. ""Care"" should have been much much better.",negative
"From the weeks and weeks of promotion for this, ABC's ""The One"" was supposed to be ""The Real World"" meets ""American Idol."" We were to watch these singers perform, compete and see how they lived together in a house as well. The Drama! The Tension! <br /><br />Where does one begin with this atrocity? Let's start with the ""judges"" who were known as ""Music Experts"" on this program. ""Experts"" implies they have expertise. Andre Harrell at least had a pedigree. He was in charge of Motown Records for a time. The other two... eh. Kate Hudson's uncle, who could have been labeled Mr. Weird Beard. He dyed his facial hair three distinctly different florescent colors. I wonder how scary he would have been with a black light! And The Paula Abdul wannabe, who did something I didn't think could happen: she was even more gushing and cloying than Paula! She then over corrected and became harshly critical after the first episode. The farce of ""critiques"" that these three offered was a true joke and an insult, not only to the process of finding the best singer, but to the audience that is now quite savvy, already having done this numerous times on Fox.<br /><br />There was the host. George Stroumboulopoulos was no Ryan Seacrest. In fact, he was as lackluster as can be. He actually sucked what little energy there was in the program, dry. How he got that job was the second biggest mystery of the show.<br /><br />The first was how did they pick the 11 competitors for this program? This was literally a talent-free talent show. OK. Perhaps that's an exaggeration. And granted, the performers all have to be relatively close in ability, because if they were not, there wouldn't be a ""contest."" If only one person was ""good,"" there would be no ""suspense."" So, I get that they all needed to be comparable. But they all should have had *some* chops! Additionally, the judges were running a ""Singing Academy,"" so the program was part ""Fame,"" as well. Clearly these performers desperately needed those lessons. But you need some extremely talented people to teach those with little talent to be talented. And that definitely wasn't what was happening here.<br /><br />It seemed in casting the show, the priority was on the ""homelife"" elements, as all of the players were very attractive to look at, in equal parts to how badly they vocalized. But the filmed segments in their house were so chopped and sliced, you couldn't get into the stories that were starting to happen, so the show didn't capture the events there, either.<br /><br />As badly devised as all of that was, ""The One"" had an incredible, unbelievable, fatal design flaw built into the results that made it completely laughable.<br /><br />The audience phoned in their votes for who they liked the best, just like on ""AI."" But then, after the audience vote was revealed, the bottom three contestants were forced to sing a final song. The ""music experts,"" based on that performance, chose one person from the three to save for the following week. And THEN, the contestants who were safe got to vote for who they wanted to keep from the remaining two, sending the remaining contestant home.<br /><br />The ""design flaw"" was that the contestants had the final say. I mean, if you were in a music competition and you wanted to get as far along the path as you could, would you vote to KEEP the better singer, or would you try to get rid of your toughest rival? Any first season viewer of CBS's ""Survivor"" could answer that one! And that's exactly what happened on the program. The person who had the better potential was lost, and the contestants voted back ""the one"" who had no talent at all! On top of that, the contestant who was just saved from the bottom by the ""experts"" was also allowed to vote against the remaining two! It was a complete farce! <br /><br />Maybe if they let the contestants vote first, at least the ""experts"" would save the better of two evils to finish. But this just confirms how not ready this show was for broadcast, how unsatisfying the whole process was to view and how misguided the producers were in attempting it.",negative
How his charter evolved as both man and ape was outstanding. Not to mention the scenery of the film. Christopher lambert was astonishing as lord of Greystoke. Christopher is the soul to this masterpiece. I became so enthrawled with his performance i could feel my heart pounding. The entireity of the movie still moves me to this day. His portrayal of John was Oscar worthy; as he should have been nominated for it.,positive
"It is a Frank Zappa axiom that ""music journalism is people who can't write interviewing people who can't talk for people who can't read."" If you ever needed proof that musicians can't talk, this is the film for you. Repeated attempts at profundity stumble over themselves to end up in monosyllabic comments delivered in awestruck voices: ""Wow."" (Thank you, Idris Muhammed.) This film is pretentious but, while much of the pontificating from Youssou N'Dour and his gang of merry men (and one token woman) grates, the music saves the day.<br /><br />The main idea behind the film (what I take to be the main idea, dredged out of the inarticulate commentary) is interesting. To gather a group of musicians from America and Europe and take them on a journey through the different styles of music that grew up in and out of slavery, back to their roots in the music of West Africa, and a concert in the old slave fort of Gorée off the coast of Senegal. We are treated to gospel, blues, jazz and variations of these, including some fantastic drumming both in New Orleans and Senegal. There's also a good deal of N'Dour's own compositions.<br /><br />Sadly, that's another weakness. It's never entirely clear what N'Dour himself wants to achieve. To some degree, the film appears to be an exercise in self-promotion on N'Dour's part. He wants to play his own music, jazzed up to some degree and performed in the company of a bunch of musicians he admires. He's clearly a little embarrassed by this and early in the film obtains the blessings of the Curator of the Gorée museum.<br /><br />The clash between the different agendas shows through in several other places. For example, somebody obviously felt that it was not possible to tell the story of black music without involving a gospel choir, but N'Dour and most of his mates are Moslems (a point made repeatedly throughout the film). The whole early sequence involving the black Christians is uncomfortable and then they disappear from the story until the close harmony group (the only black Christians who can hold a tone?) turn up in Dakar at the end of the film. (To be fair, they turn up triumphantly and perform the best piece in the film.) If the story of black music needs to nod in the direction of gospel, why not also in the direction of Latin America? Where are the black musical influences from the Caribbean and Brazil? Samba? Reggae? Then there's Europe. Here the black diaspora doesn't seem to have produced any musicians of calibre, since N'Dour chooses to draft in Austrian guitarist and a trumpet player from Luxemburg. Are they in the team just because N'Dour has played with him before? What I personally found most irritating, though, was the long sequence which tried to recreate a kind of 60s beatnik/black power/Nation of Islam cultural happening in the New York home of Amir Baraka (a.k.a. Leroi Jones). Hearing people talk about the importance of ""knowing your history"", and then in the next breath perpetuating ignorance. Why do so many African-Americans believe that taking an Arabic name is an assertion of their African roots? And why do they think Arabic Islam is so much more admirable than European Christianity? Who do they think established the trade in African slaves in the first place? The film doesn't have much to say about the situation in West Africa today beyond the platitude that ""present conditions"" are a consequence of all the brightest and best having been shipped away for 300 years. The Senegalese appear to be a poor but happy, musical gifted folk, friendly and welcoming, respectful of their elders (and not above fleecing the visiting Americans in the fish market). Is this ethnic stereotyping or just my imagination? There is no comment on the armed guard that N'Dour and the camera crew seem to need in the opening sequence as they walk through the streets of Dakar.<br /><br />There is also a strong implication in the film that the slaves who were taken from Dakar came from Dakar. The similarity between the folk drumming style of New Orleans and the folk drumming style of Senegal is cited in evidence. The last thing the slaves heard before they were shipped away was the drumming of their homeland, bidding them farewell. Except, of course, that by and large, the slaves shipped from Dakar did not come from Dakar. They were captured or traded from the interior by the coastal Senegalese and sold to merchants of whichever European power currently held the Gorée slave fort. The people of Dakar are not the descendents of Africans who escaped the slave trade, they are just as likely  more likely  to be descendents of the people who sold their black brethren into slavery and exile.<br /><br />The two agenda's clash again in the final part of the film. There are two separate endings. On the one hand, the concert which N'Dour and Co have been rehearsing and preparing along the way and which they deliver in the courtyard of the Gorée slave fort. The other end comes when the Harmony Harmoneers sing the spiritual ""Return to Glory"", in the seaward doorway of the slave fort. This is deeply moving, even if it is hard to believe the performance is quite as spontaneous as it appears.<br /><br />This is a film that is flawed. Unclear of the story it is trying to tell and tugged in different directions. Irritating, confusing, beautiful and emotional by turns. Watch it (listen to it) for the music and the feeling, but don't expect enlightenment or intellectual rigour.",negative
"All right, there's no way to sugarcoat this. The plot was ridiculous, the premise was ridiculous, the acting was unconscionable, the effects were laughable and all of the outdoor scenes appear to have been filmed in New York's Central Park. That having been said, there was something about this movie that I couldn't walk away from. Maybe it was the atmosphere, or maybe it was the evil super-vixen or the amazon wenches.<br /><br />Anyway I'm not one to sit on the margins and criticise without pointing out a few redeeming qualities, so here they are.<br /><br />A violent off-shoot of the women's lib movement is portrayed in a wilderness setting (central park, of course), and all of the masochistic young men out there will be very impressed. Furthermore, some of the scenes in which certain characters lose consciousness are amusingly dramatic (you'll note that I write dramatic, rather than convincing).<br /><br />All I can say is that some people like B movies and I'm one of them. If you're one of them too, then give it a go. Cheers, Mr Kincaid. This is one for the ages.",negative
"This was quite possibly the worst movie I have ever seen. I watched it with a large group of friends and after it was over not a one of us understood the plot. Aside from the lack of plot, the acting was atrocious, the ""special effects"" were not so special, and the writing was absolutely horrible. The movie's only redeeming factor is that it's so incredibly bad that it's quite funny. You can't help but laugh at a zombie being run over while actors are spewing crappy dialogue. I wouldn't recommend this film to anyone looking for a good movie, but it's something that a group of friends can get together and have a good laugh about. It's now a running joke among my friends and I. 1 out of 10.",negative
